rt,button_pressed,test_part,utt,box,left_obj,right_obj,responses,subid,selected_obj,accuracy
20068.465000018477,NA,comment,,,,,based on my opinion,12,,0
1576.2550000217743,0,,,,,,,12,,0
21120.999999926426,0,obj_selection,simple_utt,img/lostbox2a.png,complex.png,simple.png,,13,complex.png,0
9785.000000032596,1,obj_selection,complex_utt,img/lostbox2a.png,complex.png,simple.png,,13,simple.png,0
55348.99999992922,NA,comment,,,,,sentence length,13,,0
3408.0000000540167,0,,,,,,,13,,0
8044.999999925494,1,obj_selection,complex_utt,img/lostbox2b.png,simple.png,complex.png,,14,complex.png,1
2522.999999928288,0,obj_selection,simple_utt,img/lostbox2b.png,simple.png,complex.png,,14,simple.png,1
43766.99999999255,NA,comment,,,,,i just follow the instructions,14,,0
3441.9999999227002,0,,,,,,,14,,0
2319.2399999970803,0,obj_selection,complex_utt,img/lostbox2a.png,complex.png,simple.png,,15,complex.png,1
4003.0449999903794,1,obj_selection,simple_utt,img/lostbox2a.png,complex.png,simple.png,,15,simple.png,1
18363.81999999867,NA,comment,,,,,The complexity of the resquest.  Ball is a pretty straightforward word in our language.  ,15,,0
1817.414999997709,0,,,,,,,15,,0
3462.000000057742,1,obj_selection,complex_utt,img/lostbox2a.png,simple.png,complex.png,,16,complex.png,1
1620.000000053551,0,obj_selection,simple_utt,img/lostbox2a.png,simple.png,complex.png,,16,simple.png,1
25059.000000008382,NA,comment,,,,,More complex dialog for the more complex looking item,16,,0
2537.000000011176,0,,,,,,,16,,0
14242.999999958556,1,obj_selection,complex_utt,img/lostbox2a.png,simple.png,complex.png,,17,complex.png,1
3521.0000000079162,1,obj_selection,simple_utt,img/lostbox2a.png,simple.png,complex.png,,17,complex.png,0
12772.999999986496,NA,comment,,,,,its by the process,17,,0
1572.0000000437722,0,,,,,,,17,,0
88481.99999999633,1,obj_selection,simple_utt,img/lostbox2a.png,complex.png,simple.png,,18,simple.png,1
4603.99999999936,0,obj_selection,complex_utt,img/lostbox2a.png,complex.png,simple.png,,18,complex.png,1
8355.999999999767,NA,comment,,,,,GOOD,18,,0
1332.9999999987194,0,,,,,,,18,,0
6924.9999998137355,0,obj_selection,complex_utt,img/lostbox2a.png,complex.png,simple.png,,19,complex.png,1
1418.00000006333,0,obj_selection,simple_utt,img/lostbox2a.png,complex.png,simple.png,,19,complex.png,0
28556.00000009872,NA,comment,,,,,green alians,19,,0
4289.999999804422,0,,,,,,,19,,0
7821.724999928847,0,obj_selection,simple_utt,img/lostbox2a.png,simple.png,complex.png,,20,simple.png,1
3669.054999947548,1,obj_selection,complex_utt,img/lostbox2a.png,simple.png,complex.png,,20,complex.png,1
38686.005000025034,NA,comment,,,,,"I thought that if one of the two had a longer name, it would be the one with the more abnormal shape. Since that alien said more, I matched it with that.",20,,0
2086.035000043921,0,,,,,,,20,,0
21804.049999976996,0,obj_selection,complex_utt,img/lostbox2a.png,complex.png,simple.png,,21,complex.png,1
5085.90499998536,1,obj_selection,simple_utt,img/lostbox2a.png,complex.png,simple.png,,21,simple.png,1
24953.15999997547,NA,comment,,,,,it fits each alien,21,,0
3041.7299999971874,0,,,,,,,21,,0
7276.910000000498,1,obj_selection,complex_utt,img/lostbox2a.png,complex.png,simple.png,,22,simple.png,0
15563.290000005509,0,obj_selection,simple_utt,img/lostbox2a.png,complex.png,simple.png,,22,complex.png,0
15983.360000012908,NA,comment,,,,,green ball ,22,,0
2363.1549999990966,0,,,,,,,22,,0
3400.2000000036787,1,obj_selection,complex_utt,img/lostbox2b.png,complex.png,simple.png,,23,simple.png,0
1006.8200000096112,0,obj_selection,simple_utt,img/lostbox2b.png,complex.png,simple.png,,23,complex.png,0
14737.294999998994,NA,comment,,,,,base on the information presented,23,,0
1189.0849999908824,0,,,,,,,23,,0
1559.8600000375882,0,obj_selection,complex_utt,img/lostbox2b.png,simple.png,complex.png,,24,simple.png,0
3078.6950000328943,0,obj_selection,simple_utt,img/lostbox2b.png,simple.png,complex.png,,24,simple.png,1
4660.669999953825,NA,comment,,,,,NICE,24,,0
1240.8749999594875,0,,,,,,,24,,0
3757,0,obj_selection,simple_utt,img/lostbox2b.png,simple.png,complex.png,,25,simple.png,1
1570,1,obj_selection,complex_utt,img/lostbox2b.png,simple.png,complex.png,,25,complex.png,1
18921,NA,comment,,,,,I thought it would take less words to say green ball.,25,,0
1304,0,,,,,,,25,,0
3966.000000014901,1,obj_selection,simple_utt,img/lostbox2a.png,complex.png,simple.png,,26,simple.png,1
10817.000000271946,0,obj_selection,complex_utt,img/lostbox2a.png,complex.png,simple.png,,26,complex.png,1
20181.99999956414,NA,comment,,,,,alien lose,26,,0
1899.0000002086163,0,,,,,,,26,,0
9066.27000006847,1,obj_selection,simple_utt,img/lostbox2a.png,complex.png,simple.png,,27,simple.png,1
2067.9800000507385,0,obj_selection,complex_utt,img/lostbox2a.png,complex.png,simple.png,,27,complex.png,1
108940.41500007734,NA,comment,,,,,like,27,,0
2286.365000065416,0,,,,,,,27,,0
23664.00000010617,1,obj_selection,complex_utt,img/lostbox2b.png,complex.png,simple.png,,28,simple.png,0
34959.000000031665,0,obj_selection,simple_utt,img/lostbox2b.png,complex.png,simple.png,,28,complex.png,0
103273.0000000447,NA,comment,,,,,"Because,This answer is correct",28,,0
5026.0000000707805,0,,,,,,,28,,0
16228.750000009313,1,obj_selection,complex_utt,img/lostbox2a.png,complex.png,simple.png,,29,simple.png,0
2108.01999992691,0,obj_selection,simple_utt,img/lostbox2a.png,complex.png,simple.png,,29,complex.png,0
14029.345000046305,NA,comment,,,,,in my guess,29,,0
2273.509999969974,0,,,,,,,29,,0
127317.00000003912,0,obj_selection,simple_utt,img/lostbox2b.png,simple.png,complex.png,,30,simple.png,1
2101.9999999552965,1,obj_selection,complex_utt,img/lostbox2b.png,simple.png,complex.png,,30,complex.png,1
690081.9999999367,NA,comment,,,,,but he is alien,30,,0
1706.99999993667,0,,,,,,,30,,0
2672.435000000405,1,obj_selection,complex_utt,img/lostbox2b.png,simple.png,complex.png,,31,complex.png,1
1606.4750000005006,0,obj_selection,simple_utt,img/lostbox2b.png,simple.png,complex.png,,31,simple.png,1
23428.194999998595,NA,comment,,,,,I thought the ball would be described using less words.,31,,0
1684.1949999998178,0,,,,,,,31,,0
3452.8950001113117,0,obj_selection,complex_utt,img/lostbox2a.png,complex.png,simple.png,,32,complex.png,1
1995.630000019446,1,obj_selection,simple_utt,img/lostbox2a.png,complex.png,simple.png,,32,simple.png,1
15256.759999785572,NA,comment,,,,,The alien who spoke more needed the more complex looking item.,32,,0
1141.1749999970198,0,,,,,,,32,,0
3847.0000000088476,0,obj_selection,simple_utt,img/lostbox2a.png,simple.png,complex.png,,33,simple.png,1
6865.999999979977,0,obj_selection,complex_utt,img/lostbox2a.png,simple.png,complex.png,,33,simple.png,0
7871.000000042841,NA,comment,,,,,good,33,,0
988.0000000121072,0,,,,,,,33,,0
7747.5649998523295,1,obj_selection,simple_utt,img/lostbox2a.png,complex.png,simple.png,,34,simple.png,1
1410.1549996994436,0,obj_selection,complex_utt,img/lostbox2a.png,complex.png,simple.png,,34,complex.png,1
7982.445000205189,NA,comment,,,,,ball,34,,0
1871.1799997836351,0,,,,,,,34,,0
11633.764999976847,1,obj_selection,complex_utt,img/lostbox2a.png,simple.png,complex.png,,35,complex.png,1
5218.419999990147,0,obj_selection,simple_utt,img/lostbox2a.png,simple.png,complex.png,,35,simple.png,1
96795.3700000071,NA,comment,,,,,I chose the shorter phrase for the ball because it's a simple object that would probably take few words to describe. The more complicated object might need more words.,35,,0
2657.0100000244565,0,,,,,,,35,,0
4950.345000019297,0,obj_selection,complex_utt,img/lostbox2b.png,complex.png,simple.png,,36,complex.png,1
1567.8299999563023,1,obj_selection,simple_utt,img/lostbox2b.png,complex.png,simple.png,,36,simple.png,1
18129.744999983814,NA,comment,,,,,The more detailed item might have a longer description/name than the simple one.,36,,0
5344.305000035092,0,,,,,,,36,,0
5759.470000048168,0,obj_selection,simple_utt,img/lostbox2b.png,simple.png,complex.png,,37,simple.png,1
1600.0899999635294,1,obj_selection,complex_utt,img/lostbox2b.png,simple.png,complex.png,,37,complex.png,1
41836.02000004612,NA,comment,,,,,I equated the longer sentence to a more complicated object.,37,,0
1386.8050000164658,0,,,,,,,37,,0
6898.999999975786,1,obj_selection,simple_utt,img/lostbox2b.png,simple.png,complex.png,,38,complex.png,0
5751.99999997858,1,obj_selection,complex_utt,img/lostbox2b.png,simple.png,complex.png,,38,complex.png,1
28381.999999983236,NA,comment,,,,,This is inside the box.,38,,0
2234.99999998603,0,,,,,,,38,,0
16281.73500000003,1,obj_selection,complex_utt,img/lostbox2b.png,simple.png,complex.png,,39,complex.png,1
33802.47500000043,0,obj_selection,simple_utt,img/lostbox2b.png,simple.png,complex.png,,39,simple.png,1
52279.83499999982,NA,comment,,,,,from my guess,39,,0
1762.4650000002584,0,,,,,,,39,,0
21471.654999993858,0,obj_selection,simple_utt,img/lostbox2a.png,simple.png,complex.png,,40,simple.png,1
3146.814999999944,1,obj_selection,complex_utt,img/lostbox2a.png,simple.png,complex.png,,40,complex.png,1
28678.829999997048,NA,comment,,,,,I felt that it seemed most appropriate based on the recreations that I saw. ,40,,0
1611.6049999982351,0,,,,,,,40,,0
13402.999999932945,1,obj_selection,complex_utt,img/lostbox2b.png,simple.png,complex.png,,41,complex.png,1
2564.9999999441206,0,obj_selection,simple_utt,img/lostbox2b.png,simple.png,complex.png,,41,simple.png,1
35944.00000013411,NA,comment,,,,,"Because,This answer is correct",41,,0
1767.9999999236315,0,,,,,,,41,,0
7302.000000010594,1,obj_selection,complex_utt,img/lostbox2a.png,simple.png,complex.png,,42,complex.png,1
2868.000000002212,0,obj_selection,simple_utt,img/lostbox2a.png,simple.png,complex.png,,42,simple.png,1
52783.99999999965,NA,comment,,,,,both alien want that objects,42,,0
1953.0000000086147,0,,,,,,,42,,0
27182.000000029802,0,obj_selection,complex_utt,img/lostbox2a.png,complex.png,simple.png,,43,complex.png,1
13709.999999962747,1,obj_selection,simple_utt,img/lostbox2a.png,complex.png,simple.png,,43,simple.png,1
41000.99999993108,NA,comment,,,,,Bado mep,43,,0
1466.0000000149012,0,,,,,,,43,,0
2451.0000000009313,0,obj_selection,complex_utt,img/lostbox2b.png,simple.png,complex.png,,44,simple.png,0
5060.9999999869615,0,obj_selection,simple_utt,img/lostbox2b.png,simple.png,complex.png,,44,simple.png,1
15965.999999898486,NA,comment,,,,,i think so,44,,0
1689.9999999441206,0,,,,,,,44,,0
8891.000000061467,0,obj_selection,complex_utt,img/lostbox2b.png,complex.png,simple.png,,45,complex.png,1
10221.99999995064,0,obj_selection,simple_utt,img/lostbox2b.png,complex.png,simple.png,,45,complex.png,0
63263.00000003539,NA,comment,,,,,TOBA ZEM ZORP BIDAKU MIDU OSH GIPU,45,,0
3793.999999994412,0,,,,,,,45,,0
5573.59499996528,1,obj_selection,simple_utt,img/lostbox2a.png,complex.png,simple.png,,46,simple.png,1
2435.949999955483,0,obj_selection,complex_utt,img/lostbox2a.png,complex.png,simple.png,,46,complex.png,1
16033.070000004955,NA,comment,,,,,bayb,46,,0
1521.584999980405,0,,,,,,,46,,0
5001.344999996945,0,obj_selection,simple_utt,img/lostbox2b.png,simple.png,complex.png,,47,simple.png,1
2053.649999987101,1,obj_selection,complex_utt,img/lostbox2b.png,simple.png,complex.png,,47,complex.png,1
25494.36000001151,NA,comment,,,,,I chose the object that match with the aliens.,47,,0
1571.5999999956694,0,,,,,,,47,,0
6688.819999806583,1,obj_selection,simple_utt,img/lostbox2a.png,complex.png,simple.png,,48,simple.png,1
1756.7349998280406,0,obj_selection,complex_utt,img/lostbox2a.png,complex.png,simple.png,,48,complex.png,1
9866.180000128224,NA,comment,,,,,Because it lost,48,,0
2707.759999902919,0,,,,,,,48,,0
6112.01500000243,0,obj_selection,complex_utt,img/lostbox2a.png,simple.png,complex.png,,49,simple.png,0
2990.8099999993283,1,obj_selection,simple_utt,img/lostbox2a.png,simple.png,complex.png,,49,complex.png,0
27639.740000002348,NA,comment,,,,,"Not sure really I have no idea what they said, I figured the shorter sentence kept the plainer object, and the more complex sentence kept the complex object.",49,,0
1135.9499999998661,0,,,,,,,49,,0
10541.999999899417,1,obj_selection,simple_utt,img/lostbox2b.png,simple.png,complex.png,,50,complex.png,0
8461.00000012666,0,obj_selection,complex_utt,img/lostbox2b.png,simple.png,complex.png,,50,simple.png,0
11523.999999975786,NA,comment,,,,,Based upon analysis,50,,0
1732.0000000763685,0,,,,,,,50,,0
