rt,url,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,button_pressed,test_part,utt,boxes_type,left_box,right_box,responses,subid,selected_box,accuracy
9016.499999997905,NA,html-button-response,7,86589,0.0-3.0-4.0,"<p>Remember, Dax looked in one box and said <i>""Toba zem zorp bidaku midu osh gipu.""</i></p><p>Then Dax looked in the other box and said <i>""Bado mep.""</i></p><p>Which box do you think Dax was looking in when he said<br><i>""Toba zem zorp bidaku midu osh gipu.""</i>?</p><div style='width: 700px;'></div>",1,box_selection,complex_utt,num_types,box_1,box_2,NA,aeae_ygjx_ljzz,box_2,1
3123.9999999961583,NA,html-button-response,8,90220,0.0-3.0-5.0,"<p>Remember, Dax looked in one box and said <i>""Toba zem zorp bidaku midu osh gipu.""</i></p><p>Then Dax looked in the other box and said <i>""Bado mep.""</i></p><p>Which box do you think Dax was looking in when he said<br><i>""Bado mep.""</i>?</p><div style='width: 700px;'></div>",0,box_selection,simple_utt,num_types,box_1,box_2,NA,aeae_ygjx_ljzz,box_1,1
31846.29999999015,NA,survey-text,9,122594,0.0-4.0,NA,NA,comment,NA,NA,NA,NA,I chose the longer phrase for the box with diffefent types of items and the shorter phrase for the box with all the same kind because its quicker to say that ,aeae_ygjx_ljzz,,0
1926.3999999966472,NA,html-button-response,10,124524,0.0-5.0,<p>This is the end of the study. Thank you for participating!</p>,0,NA,NA,NA,NA,NA,NA,aeae_ygjx_ljzz,NA,NA
2754.740000003949,recaptcha.html,external-html,0,2761,0.0-0.0,NA,NA,NA,NA,NA,NA,NA,NA,akta_xdag_kyum,NA,NA
5603.464999992866,consent/consent.html,external-html,1,8465,0.0-1.0,NA,NA,NA,NA,NA,NA,NA,NA,akta_xdag_kyum,NA,NA
2222.825000004377,NA,html-button-response,2,10690,0.0-2.0,"<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.",0,setup,NA,NA,NA,NA,NA,akta_xdag_kyum,,0
13290.930000017397,NA,html-button-response,3,25982,0.0-3.0-0.0,"<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>",0,setup,NA,NA,NA,NA,NA,akta_xdag_kyum,,0
14862.444999977015,NA,html-button-response,4,41355,0.0-3.0-1.0,"<p>Dax has two boxes. <br> He opens one box and looks inside. <br><br>Then, Dax says, <i>""Toba zem zorp bidaku midu osh gipu.""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img><img src='img/grey_box.png'></img></div></div><br>",0,setup,complex_utt,NA,NA,NA,NA,akta_xdag_kyum,,0
5912.890000035986,NA,html-button-response,5,47770,0.0-3.0-2.0,"<p>Then, Dax opens the other box and looks inside. <br><br>He says, <i>""Bado mep.""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img><img src='img/grey_box.png'></img></div></div><br>",0,setup,simple_utt,NA,NA,NA,NA,akta_xdag_kyum,,0
13683.614999987185,NA,html-button-response,6,61960,0.0-3.0-3.0,<p>Here are Dax's boxes.<br></p><div style='width: 700px;'><div style='float: center;'><img width = '250px' src='img/num_types/box_2.png'></img><img width = '250px' src='img/num_types/box_1.png'></img></div></div>,0,NA,NA,NA,NA,NA,NA,akta_xdag_kyum,NA,NA
24059.979999961797,NA,html-button-response,7,86524,0.0-3.0-4.0,"<p>Remember, Dax looked in one box and said <i>""Toba zem zorp bidaku midu osh gipu.""</i></p><p>Then Dax looked in the other box and said <i>""Bado mep.""</i></p><p>Which box do you think Dax was looking in when he said<br><i>""Toba zem zorp bidaku midu osh gipu.""</i>?</p><div style='width: 700px;'></div>",1,box_selection,complex_utt,num_types,box_2,box_1,NA,akta_xdag_kyum,box_1,0
3817.009999998845,NA,html-button-response,8,90847,0.0-3.0-5.0,"<p>Remember, Dax looked in one box and said <i>""Toba zem zorp bidaku midu osh gipu.""</i></p><p>Then Dax looked in the other box and said <i>""Bado mep.""</i></p><p>Which box do you think Dax was looking in when he said<br><i>""Bado mep.""</i>?</p><div style='width: 700px;'></div>",1,box_selection,simple_utt,num_types,box_2,box_1,NA,akta_xdag_kyum,box_1,1
57794.779999996535,NA,survey-text,9,149145,0.0-4.0,NA,NA,comment,NA,NA,NA,NA,I chose the right box because it shows objects of the same shapes and color and I think that's easier for Dax to recognize and choose.,akta_xdag_kyum,,0
1088.5099999723025,NA,html-button-response,10,150235,0.0-5.0,<p>This is the end of the study. Thank you for participating!</p>,0,NA,NA,NA,NA,NA,NA,akta_xdag_kyum,NA,NA
2688.605000003008,recaptcha.html,external-html,0,2709,0.0-0.0,NA,NA,NA,NA,NA,NA,NA,NA,akvz_bfnr_byqs,NA,NA
19364.43000000145,consent/consent.html,external-html,1,22088,0.0-1.0,NA,NA,NA,NA,NA,NA,NA,NA,akvz_bfnr_byqs,NA,NA
1223.5449999861885,NA,html-button-response,2,23316,0.0-2.0,"<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.",0,setup,NA,NA,NA,NA,NA,akvz_bfnr_byqs,,0
15420.494999998482,NA,html-button-response,3,40742,0.0-3.0-0.0,"<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>",0,setup,NA,NA,NA,NA,NA,akvz_bfnr_byqs,,0
11757.079999995767,NA,html-button-response,4,53003,0.0-3.0-1.0,"<p>Dax has two boxes. <br> He opens one box and looks inside. <br><br>Then, Dax says, <i>""Toba zem zorp bidaku midu osh gipu.""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img><img src='img/grey_box.png'></img></div></div><br>",0,setup,complex_utt,NA,NA,NA,NA,akvz_bfnr_byqs,,0
9701.065000001108,NA,html-button-response,5,63209,0.0-3.0-2.0,"<p>Then, Dax opens the other box and looks inside. <br><br>He says, <i>""Bado mep.""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img><img src='img/grey_box.png'></img></div></div><br>",0,setup,simple_utt,NA,NA,NA,NA,akvz_bfnr_byqs,,0
6923.679999992601,NA,html-button-response,6,70637,0.0-3.0-3.0,<p>Here are Dax's boxes.<br></p><div style='width: 700px;'><div style='float: center;'><img width = '250px' src='img/num_objects/box_2.png'></img><img width = '250px' src='img/num_objects/box_1.png'></img></div></div>,0,NA,NA,NA,NA,NA,NA,akvz_bfnr_byqs,NA,NA
54493.37499999092,NA,html-button-response,7,125637,0.0-3.0-4.0,"<p>Remember, Dax looked in one box and said <i>""Toba zem zorp bidaku midu osh gipu.""</i></p><p>Then Dax looked in the other box and said <i>""Bado mep.""</i></p><p>Which box do you think Dax was looking in when he said<br><i>""Toba zem zorp bidaku midu osh gipu.""</i>?</p><div style='width: 700px;'></div>",0,box_selection,complex_utt,num_objects,box_2,box_1,NA,akvz_bfnr_byqs,box_2,1
7593.82499998901,NA,html-button-response,8,133736,0.0-3.0-5.0,"<p>Remember, Dax looked in one box and said <i>""Toba zem zorp bidaku midu osh gipu.""</i></p><p>Then Dax looked in the other box and said <i>""Bado mep.""</i></p><p>Which box do you think Dax was looking in when he said<br><i>""Bado mep.""</i>?</p><div style='width: 700px;'></div>",0,box_selection,simple_utt,num_objects,box_2,box_1,NA,akvz_bfnr_byqs,box_2,0
23053.039999998873,NA,survey-text,9,157297,0.0-4.0,NA,NA,comment,NA,NA,NA,NA,I guess the box that has the most blue balls.,akvz_bfnr_byqs,,0
992.0450000063283,NA,html-button-response,10,158290,0.0-5.0,<p>This is the end of the study. Thank you for participating!</p>,0,NA,NA,NA,NA,NA,NA,akvz_bfnr_byqs,NA,NA
10394.430000014836,recaptcha.html,external-html,0,10420,0.0-0.0,NA,NA,NA,NA,NA,NA,NA,NA,aojc_rgbo_orib,NA,NA
12931.66500001098,consent/consent.html,external-html,1,23745,0.0-1.0,NA,NA,NA,NA,NA,NA,NA,NA,aojc_rgbo_orib,NA,NA
4605.234999995446,NA,html-button-response,2,28353,0.0-2.0,"<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.",0,setup,NA,NA,NA,NA,NA,aojc_rgbo_orib,,0
13956.999999994878,NA,html-button-response,3,44324,0.0-3.0-0.0,"<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>",0,setup,NA,NA,NA,NA,NA,aojc_rgbo_orib,,0
7778.140000009444,NA,html-button-response,4,52620,0.0-3.0-1.0,"<p>Dax has two boxes. <br> He opens one box and looks inside. <br><br>Then, Dax says, <i>""Bado mep.""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img><img src='img/grey_box.png'></img></div></div><br>",0,setup,simple_utt,NA,NA,NA,NA,aojc_rgbo_orib,,0
6459.645000024466,NA,html-button-response,5,59597,0.0-3.0-2.0,"<p>Then, Dax opens the other box and looks inside. <br><br>He says, <i>""Toba zem zorp bidaku midu osh gipu.""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img><img src='img/grey_box.png'></img></div></div><br>",0,setup,complex_utt,NA,NA,NA,NA,aojc_rgbo_orib,,0
6804.369999998016,NA,html-button-response,6,66904,0.0-3.0-3.0,<p>Here are Dax's boxes.<br></p><div style='width: 700px;'><div style='float: center;'><img width = '250px' src='img/num_objects/box_2.png'></img><img width = '250px' src='img/num_objects/box_1.png'></img></div></div>,0,NA,NA,NA,NA,NA,NA,aojc_rgbo_orib,NA,NA
9788.335000019288,NA,html-button-response,7,77213,0.0-3.0-4.0,"<p>Remember, Dax looked in one box and said <i>""Bado mep.""</i></p><p>Then Dax looked in the other box and said <i>""Toba zem zorp bidaku midu osh gipu.""</i></p><p>Which box do you think Dax was looking in when he said<br><i>""Bado mep.""</i>?</p><div style='width: 700px;'></div>",1,box_selection,simple_utt,num_objects,box_2,box_1,NA,aojc_rgbo_orib,box_1,1
3028.8600000203587,NA,html-button-response,8,80760,0.0-3.0-5.0,"<p>Remember, Dax looked in one box and said <i>""Bado mep.""</i></p><p>Then Dax looked in the other box and said <i>""Toba zem zorp bidaku midu osh gipu.""</i></p><p>Which box do you think Dax was looking in when he said<br><i>""Toba zem zorp bidaku midu osh gipu.""</i>?</p><div style='width: 700px;'></div>",0,box_selection,complex_utt,num_objects,box_2,box_1,NA,aojc_rgbo_orib,box_2,1
20835.445000004256,NA,survey-text,9,102101,0.0-4.0,NA,NA,comment,NA,NA,NA,NA,Amount of words equals amount of items.,aojc_rgbo_orib,,0
1365.4199999873526,NA,html-button-response,10,103468,0.0-5.0,<p>This is the end of the study. Thank you for participating!</p>,0,NA,NA,NA,NA,NA,NA,aojc_rgbo_orib,NA,NA
21232.780000020284,recaptcha.html,external-html,0,21265,0.0-0.0,NA,NA,NA,NA,NA,NA,NA,NA,aqmj_tyux_wara,NA,NA
113605.79000000143,consent/consent.html,external-html,1,135838,0.0-1.0,NA,NA,NA,NA,NA,NA,NA,NA,aqmj_tyux_wara,NA,NA
7295.394999964628,NA,html-button-response,2,143136,0.0-2.0,"<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.",0,setup,NA,NA,NA,NA,NA,aqmj_tyux_wara,,0
131314.8650000221,NA,html-button-response,3,276468,0.0-3.0-0.0,"<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>",0,setup,NA,NA,NA,NA,NA,aqmj_tyux_wara,,0
32465.93499998562,NA,html-button-response,4,309437,0.0-3.0-1.0,"<p>Dax has two boxes. <br> He opens one box and looks inside. <br><br>Then, Dax says, <i>""Bado mep.""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img><img src='img/grey_box.png'></img></div></div><br>",0,setup,simple_utt,NA,NA,NA,NA,aqmj_tyux_wara,,0
35614.00500003947,NA,html-button-response,5,345556,0.0-3.0-2.0,"<p>Then, Dax opens the other box and looks inside. <br><br>He says, <i>""Toba zem zorp bidaku midu osh gipu.""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img><img src='img/grey_box.png'></img></div></div><br>",0,setup,complex_utt,NA,NA,NA,NA,aqmj_tyux_wara,,0
18838.4799999767,NA,html-button-response,6,364901,0.0-3.0-3.0,<p>Here are Dax's boxes.<br></p><div style='width: 700px;'><div style='float: center;'><img width = '250px' src='img/num_types/box_2.png'></img><img width = '250px' src='img/num_types/box_1.png'></img></div></div>,0,NA,NA,NA,NA,NA,NA,aqmj_tyux_wara,NA,NA
15155.80000000773,NA,html-button-response,7,380568,0.0-3.0-4.0,"<p>Remember, Dax looked in one box and said <i>""Bado mep.""</i></p><p>Then Dax looked in the other box and said <i>""Toba zem zorp bidaku midu osh gipu.""</i></p><p>Which box do you think Dax was looking in when he said<br><i>""Bado mep.""</i>?</p><div style='width: 700px;'></div>",0,box_selection,simple_utt,num_types,box_2,box_1,NA,aqmj_tyux_wara,box_2,0
3978.835000016261,NA,html-button-response,8,385106,0.0-3.0-5.0,"<p>Remember, Dax looked in one box and said <i>""Bado mep.""</i></p><p>Then Dax looked in the other box and said <i>""Toba zem zorp bidaku midu osh gipu.""</i></p><p>Which box do you think Dax was looking in when he said<br><i>""Toba zem zorp bidaku midu osh gipu.""</i>?</p><div style='width: 700px;'></div>",1,box_selection,complex_utt,num_types,box_2,box_1,NA,aqmj_tyux_wara,box_1,0
15336.364999995567,NA,survey-text,9,400952,0.0-4.0,NA,NA,comment,NA,NA,NA,NA,IT'S THE CORRECT BOX,aqmj_tyux_wara,,0
3073.1350000132807,NA,html-button-response,10,404027,0.0-5.0,<p>This is the end of the study. Thank you for participating!</p>,0,NA,NA,NA,NA,NA,NA,aqmj_tyux_wara,NA,NA
18790.000000037253,recaptcha.html,external-html,0,18875,0.0-0.0,NA,NA,NA,NA,NA,NA,NA,NA,awfn_pyeb_heax,NA,NA
44533.00000005402,consent/consent.html,external-html,1,63876,0.0-1.0,NA,NA,NA,NA,NA,NA,NA,NA,awfn_pyeb_heax,NA,NA
1471.9999998342246,NA,html-button-response,2,65355,0.0-2.0,"<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.",0,setup,NA,NA,NA,NA,NA,awfn_pyeb_heax,,0
4649.999999906868,NA,html-button-response,3,72010,0.0-3.0-0.0,"<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>",0,setup,NA,NA,NA,NA,NA,awfn_pyeb_heax,,0
6347.000000067055,NA,html-button-response,4,78864,0.0-3.0-1.0,"<p>Dax has two boxes. <br> He opens one box and looks inside. <br><br>Then, Dax says, <i>""Toba zem zorp bidaku midu osh gipu.""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img><img src='img/grey_box.png'></img></div></div><br>",0,setup,complex_utt,NA,NA,NA,NA,awfn_pyeb_heax,,0
3313.0000000819564,NA,html-button-response,5,82682,0.0-3.0-2.0,"<p>Then, Dax opens the other box and looks inside. <br><br>He says, <i>""Bado mep.""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img><img src='img/grey_box.png'></img></div></div><br>",0,setup,simple_utt,NA,NA,NA,NA,awfn_pyeb_heax,,0
8608.999999938533,NA,html-button-response,6,91795,0.0-3.0-3.0,<p>Here are Dax's boxes.<br></p><div style='width: 700px;'><div style='float: center;'><img width = '250px' src='img/num_objects/box_2.png'></img><img width = '250px' src='img/num_objects/box_1.png'></img></div></div>,0,NA,NA,NA,NA,NA,NA,awfn_pyeb_heax,NA,NA
7054.000000003725,NA,html-button-response,7,99355,0.0-3.0-4.0,"<p>Remember, Dax looked in one box and said <i>""Toba zem zorp bidaku midu osh gipu.""</i></p><p>Then Dax looked in the other box and said <i>""Bado mep.""</i></p><p>Which box do you think Dax was looking in when he said<br><i>""Toba zem zorp bidaku midu osh gipu.""</i>?</p><div style='width: 700px;'></div>",0,box_selection,complex_utt,num_objects,box_2,box_1,NA,awfn_pyeb_heax,box_2,1
2220.9999999031425,NA,html-button-response,8,102079,0.0-3.0-5.0,"<p>Remember, Dax looked in one box and said <i>""Toba zem zorp bidaku midu osh gipu.""</i></p><p>Then Dax looked in the other box and said <i>""Bado mep.""</i></p><p>Which box do you think Dax was looking in when he said<br><i>""Bado mep.""</i>?</p><div style='width: 700px;'></div>",1,box_selection,simple_utt,num_objects,box_2,box_1,NA,awfn_pyeb_heax,box_1,1
20203.999999910593,NA,survey-text,9,122791,0.0-4.0,NA,NA,comment,NA,NA,NA,NA,for my understanding,awfn_pyeb_heax,,0
1587.9999999888241,NA,html-button-response,10,124383,0.0-5.0,<p>This is the end of the study. Thank you for participating!</p>,0,NA,NA,NA,NA,NA,NA,awfn_pyeb_heax,NA,NA
50067.84500001231,recaptcha.html,external-html,0,50537,0.0-0.0,NA,NA,NA,NA,NA,NA,NA,NA,azvo_fsyg_mfxt,NA,NA
26876.359999994747,consent/consent.html,external-html,1,77766,0.0-1.0,NA,NA,NA,NA,NA,NA,NA,NA,azvo_fsyg_mfxt,NA,NA
3802.4250000016764,NA,html-button-response,2,81581,0.0-2.0,"<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.",0,setup,NA,NA,NA,NA,NA,azvo_fsyg_mfxt,,0
27771.74500003457,NA,html-button-response,3,111409,0.0-3.0-0.0,"<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>",0,setup,NA,NA,NA,NA,NA,azvo_fsyg_mfxt,,0
10483.490000013262,NA,html-button-response,4,122433,0.0-3.0-1.0,"<p>Dax has two boxes. <br> He opens one box and looks inside. <br><br>Then, Dax says, <i>""Bado mep.""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img><img src='img/grey_box.png'></img></div></div><br>",0,setup,simple_utt,NA,NA,NA,NA,azvo_fsyg_mfxt,,0
139729.90000003483,NA,html-button-response,5,262828,0.0-3.0-2.0,"<p>Then, Dax opens the other box and looks inside. <br><br>He says, <i>""Toba zem zorp bidaku midu osh gipu.""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img><img src='img/grey_box.png'></img></div></div><br>",0,setup,complex_utt,NA,NA,NA,NA,azvo_fsyg_mfxt,,0
8994.930000044405,NA,html-button-response,6,272490,0.0-3.0-3.0,<p>Here are Dax's boxes.<br></p><div style='width: 700px;'><div style='float: center;'><img width = '250px' src='img/num_types/box_2.png'></img><img width = '250px' src='img/num_types/box_1.png'></img></div></div>,0,NA,NA,NA,NA,NA,NA,azvo_fsyg_mfxt,NA,NA
5234.664999996312,NA,html-button-response,7,278263,0.0-3.0-4.0,"<p>Remember, Dax looked in one box and said <i>""Bado mep.""</i></p><p>Then Dax looked in the other box and said <i>""Toba zem zorp bidaku midu osh gipu.""</i></p><p>Which box do you think Dax was looking in when he said<br><i>""Bado mep.""</i>?</p><div style='width: 700px;'></div>",1,box_selection,simple_utt,num_types,box_2,box_1,NA,azvo_fsyg_mfxt,box_1,1
6239.5399999804795,NA,html-button-response,8,285011,0.0-3.0-5.0,"<p>Remember, Dax looked in one box and said <i>""Bado mep.""</i></p><p>Then Dax looked in the other box and said <i>""Toba zem zorp bidaku midu osh gipu.""</i></p><p>Which box do you think Dax was looking in when he said<br><i>""Toba zem zorp bidaku midu osh gipu.""</i>?</p><div style='width: 700px;'></div>",0,box_selection,complex_utt,num_types,box_2,box_1,NA,azvo_fsyg_mfxt,box_2,1
24750.754999986384,NA,survey-text,9,310278,0.0-4.0,NA,NA,comment,NA,NA,NA,NA,the first box was all the same so less words were said. ,azvo_fsyg_mfxt,,0
1886.5999999688938,NA,html-button-response,10,312171,0.0-5.0,<p>This is the end of the study. Thank you for participating!</p>,0,NA,NA,NA,NA,NA,NA,azvo_fsyg_mfxt,NA,NA
63976.000000257045,recaptcha.html,external-html,0,64332,0.0-0.0,NA,NA,NA,NA,NA,NA,NA,NA,birm_zjuk_lnni,NA,NA
30459.000000264496,consent/consent.html,external-html,1,95803,0.0-1.0,NA,NA,NA,NA,NA,NA,NA,NA,birm_zjuk_lnni,NA,NA
2751.9999998621643,NA,html-button-response,2,98560,0.0-2.0,"<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.",0,setup,NA,NA,NA,NA,NA,birm_zjuk_lnni,,0
12359.999999869615,NA,html-button-response,3,112923,0.0-3.0-0.0,"<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>",0,setup,NA,NA,NA,NA,NA,birm_zjuk_lnni,,0
