rt,button_pressed,test_part,utt_1,utt_2,cue,trial_index,responses,subid,selected_utt,accuracy
38310.270000001765,NA,comment,,,,10,"The purple alien said a lot more than the orange one, so I thought it was describing the properties of the umbrella.",28,,0
4169.129999994766,1,check,,,,11,,28,,1
2311.329999996815,0,,,,,12,,28,,0
18198.51500002551,1,obj_selection,complex_utt,simple_utt,bottle1_test.png,8,,29,simple_utt,0
7529.0099999983795,1,obj_selection,complex_utt,simple_utt,umbrella_test.png,9,,29,simple_utt,1
10734.895000001416,NA,comment,,,,10,there were 2 words and two items ,29,,0
3133.250000013504,1,check,,,,11,,29,,1
1326.8650000100024,0,,,,,12,,29,,0
7421.719999998459,0,obj_selection,simple_utt,complex_utt,bottle1_test.png,8,,30,simple_utt,0
974.0699999965727,1,obj_selection,simple_utt,complex_utt,umbrella_test.png,9,,30,complex_utt,0
20287.280000004102,NA,comment,,,,10,I feel like the water bottle would be the simpler of the two phrases.,30,,0
4582.51000000746,1,check,,,,11,,30,,1
1255.3399999887915,0,,,,,12,,30,,0
1254.4550000002346,1,obj_selection,complex_utt,simple_utt,bottle2_test.png,8,,31,simple_utt,0
837.6299999999901,0,obj_selection,complex_utt,simple_utt,umbrella_test.png,9,,31,complex_utt,0
10603.99999999936,NA,comment,,,,10,LAST,31,,0
4792.869999999311,1,check,,,,11,,31,,1
1480.7550000004994,0,,,,,12,,31,,0
6080.999999999985,1,obj_selection,complex_utt,simple_utt,bottle1_test.png,8,,32,simple_utt,0
1221.0000000000073,0,obj_selection,complex_utt,simple_utt,umbrella_test.png,9,,32,complex_utt,0
8843.999999999993,NA,comment,,,,10,i like,32,,0
4117.000000000015,0,check,,,,11,,32,,0
1494,0,,,,,12,,32,,0
4819.944999995641,0,obj_selection,simple_utt,complex_utt,bottle1_test.png,8,,33,simple_utt,0
1392.0400000642985,1,obj_selection,simple_utt,complex_utt,umbrella_test.png,9,,33,complex_utt,0
25107.199999969453,NA,comment,,,,10,I feel like a water bottle will need less words to describe it compared to an umbrella,33,,0
6288.300000014715,1,check,,,,11,,33,,1
1086.8949999567121,0,,,,,12,,33,,0
10917.300000000978,0,obj_selection,complex_utt,simple_utt,bottle2_test.png,8,,34,complex_utt,1
1495.4999999899883,1,obj_selection,complex_utt,simple_utt,umbrella_test.png,9,,34,simple_utt,1
64642.20000000205,NA,comment,,,,10,I actually followed my intuition. ,34,,0
5174.899999998161,1,check,,,,11,,34,,1
1264.999999999418,0,,,,,12,,34,,0
8632.334999972954,1,obj_selection,simple_utt,complex_utt,bottle1_test.png,8,,35,complex_utt,1
1879.9449999351054,0,obj_selection,simple_utt,complex_utt,umbrella_test.png,9,,35,simple_utt,1
6268.595000030473,NA,comment,,,,10,Just a guess,35,,0
2470.3450000379235,1,check,,,,11,,35,,1
1177.909999853,0,,,,,12,,35,,0
9323.689999990165,1,obj_selection,complex_utt,simple_utt,bottle1_test.png,8,,36,simple_utt,0
2247.6800000295043,0,obj_selection,complex_utt,simple_utt,umbrella_test.png,9,,36,complex_utt,0
109066.3750001695,NA,comment,,,,10,"Two reasons \Bado\ sounds like bottle and \bado mep\ is shorter than the other name, which just seemed like a better fit for a smaller object.  ",36,,0
8442.374999867752,1,check,,,,11,,36,,1
1875.6750000175089,0,,,,,12,,36,,0
5150,0,obj_selection,simple_utt,complex_utt,bottle2_test.png,8,,37,simple_utt,0
1667,1,obj_selection,simple_utt,complex_utt,umbrella_test.png,9,,37,complex_utt,0
27848,NA,comment,,,,10,"I felt like \bado mep\ sounded kind of like \bottle\ when you say it out loud, and one of the images looked like a bottle",37,,0
2829.0000000000146,1,check,,,,11,,37,,1
1378,0,,,,,12,,37,,0
14816.124999999374,1,obj_selection,complex_utt,simple_utt,bottle1_test.png,8,,38,simple_utt,0
6156.590000000506,0,obj_selection,complex_utt,simple_utt,umbrella_test.png,9,,38,complex_utt,0
26869.534999999814,NA,comment,,,,10,"Not sure, I just guessed.",38,,0
3743.4250000005704,1,check,,,,11,,38,,1
1665.8650000008492,0,,,,,12,,38,,0
7582.014999999956,0,obj_selection,simple_utt,complex_utt,bottle2_test.png,8,,39,simple_utt,0
1521.5950000056182,1,obj_selection,simple_utt,complex_utt,umbrella_test.png,9,,39,complex_utt,0
30111.069999999017,NA,comment,,,,10,bado mep sounded like it could be bottle,39,,0
3618.80000000383,1,check,,,,11,,39,,1
1524.4600000005448,0,,,,,12,,39,,0
9309.144999999262,0,obj_selection,simple_utt,complex_utt,bottle3_test.png,8,,40,simple_utt,0
1487.199999999575,1,obj_selection,simple_utt,complex_utt,umbrella_test.png,9,,40,complex_utt,0
19810.60499999876,NA,comment,,,,10,using terms,40,,0
4332.800000000134,2,check,,,,11,,40,,0
1551.9049999984418,0,,,,,12,,40,,0
28113.899999996647,1,obj_selection,simple_utt,complex_utt,bottle2_test.png,8,,41,complex_utt,1
3005.799999984447,0,obj_selection,simple_utt,complex_utt,umbrella_test.png,9,,41,simple_utt,1
62228.199999954086,NA,comment,,,,10,I thought the alien with the fewest words described the umbrella as there was only one where the alien with more words had to describe which one of three bottles was his bottle,41,,0
1777.0000000018626,1,check,,,,11,,41,,1
5046.60000000149,0,,,,,12,,41,,0
9460.989999992307,0,obj_selection,simple_utt,complex_utt,bottle1_test.png,8,,42,simple_utt,0
1242.9049999918789,1,obj_selection,simple_utt,complex_utt,umbrella_test.png,9,,42,complex_utt,0
29150.34499997273,NA,comment,,,,10,I just had to make a guess cuz I really didn't know.,42,,0
2480.940000008559,1,check,,,,11,,42,,1
1715.219999983674,0,,,,,12,,42,,0
86616.99999999996,0,obj_selection,simple_utt,complex_utt,bottle1_test.png,8,,43,simple_utt,0
1672.000000000029,1,obj_selection,simple_utt,complex_utt,umbrella_test.png,9,,43,complex_utt,0
28740.00000000003,NA,comment,,,,10,They lost their objects,43,,0
1497.0000000000873,1,check,,,,11,,43,,1
1917.9999999999127,0,,,,,12,,43,,0
184888.99999996647,1,obj_selection,simple_utt,complex_utt,bottle3_test.png,8,,44,complex_utt,1
3135.000000009313,0,obj_selection,simple_utt,complex_utt,umbrella_test.png,9,,44,simple_utt,1
27959.999999962747,NA,comment,,,,10,BLUE,44,,0
14910.000000032596,2,check,,,,11,,44,,0
3353.000000002794,0,,,,,12,,44,,0
11060.064999997849,1,obj_selection,complex_utt,simple_utt,bottle3_test.png,8,,45,simple_utt,0
29531.8949999928,0,obj_selection,complex_utt,simple_utt,umbrella_test.png,9,,45,complex_utt,0
28158.259999996517,NA,comment,,,,10,based on their shapes,45,,0
8986.774999997579,1,check,,,,11,,45,,1
2497.3900000040885,0,,,,,12,,45,,0
37754.99999988824,0,obj_selection,simple_utt,complex_utt,bottle3_test.png,8,,46,simple_utt,0
7253.999999957159,0,obj_selection,simple_utt,complex_utt,umbrella_test.png,9,,46,simple_utt,1
32822.00000016019,NA,comment,,,,10,I think the aliens lost,46,,0
9582.999999867752,1,check,,,,11,,46,,1
1628.9999999571592,0,,,,,12,,46,,0
35436.99999997625,0,obj_selection,simple_utt,complex_utt,bottle1_test.png,8,,47,simple_utt,0
5965.195000055246,1,obj_selection,simple_utt,complex_utt,umbrella_test.png,9,,47,complex_utt,0
11290.1299999794,NA,comment,,,,10,Need,47,,0
8139.790000044741,0,check,,,,11,,47,,0
2536.054999975022,0,,,,,12,,47,,0
68988.71500000043,0,obj_selection,simple_utt,complex_utt,bottle2_test.png,8,,48,simple_utt,0
2204.2849999997998,1,obj_selection,simple_utt,complex_utt,umbrella_test.png,9,,48,complex_utt,0
90474.48499999972,NA,comment,,,,10,"Because ,I guess they will chose like this.",48,,0
6422.569999999716,1,check,,,,11,,48,,1
2360.7249999999767,0,,,,,12,,48,,0
15023.704999999609,0,obj_selection,complex_utt,simple_utt,bottle3_test.png,8,,49,complex_utt,1
1994.6950000012293,1,obj_selection,complex_utt,simple_utt,umbrella_test.png,9,,49,simple_utt,1
44064.96000000334,NA,comment,,,,10,The color of the object matching that of the alien,49,,0
10103.274999994028,1,check,,,,11,,49,,1
2620.854999993753,0,,,,,12,,49,,0
3140.3300000238232,0,obj_selection,simple_utt,complex_utt,bottle2_test.png,8,,50,simple_utt,0
898.1349999667145,1,obj_selection,simple_utt,complex_utt,umbrella_test.png,9,,50,complex_utt,0
25535.544999991544,NA,comment,,,,10,"i felt like the umbrella was the odd thing out, so it would take more words to describe what it was, so the longer phrase alien matched it",50,,0
2256.974999967497,1,check,,,,11,,50,,1
873.3099999953993,0,,,,,12,,50,,0
